age,gender,country,device_type,app_version,sessions_per_week,avg_session_duration_min,daily_active_minutes,feature_clicks_per_session,notifications_opened_per_week,in_app_search_count,pages_viewed_per_session,crash_events_last_30_days,support_tickets_raised,days_since_last_login,subscription_type,ads_clicked_last_30_days,content_downloads,social_shares,rating_given,churn_risk_score,engagement_score,account_age_days,marketing_source
56,0,3,2,2.1,5,3.41,52.71,13,5,8,8,1,0,20,0,9,5,2,3.6306638801191693,0.31,55.79,1152,4
46,1,5,2,1.0,8,24.44,42.03,7,7,3,7,0,0,7,1,8,3,3,3.0,0.87,82.39,1059,0
32,0,5,2,1.2,12,5.34,76.69,7,5,2,21,1,0,33,1,11,6,1,2.0,0.63,42.49,678,2
25,1,3,0,2.0,5,3.98,65.38,16,8,4,13,0,0,17,0,6,3,1,3.0,0.43,62.81,92,3
38,1,0,0,1.0,10,12.85,57.06,13,7,3,15,0,0,21,0,4,4,2,5.0,0.43,38.21,772,0
56,1,3,0,1.0,12,10.51,25.39,14,7,6,14,0,0,4,1,7,3,1,5.0,0.65,91.45,50,0
36,0,3,0,1.2,8,19.93,14.86,15,2,5,3,0,0,43,1,9,2,1,4.0,0.78,63.3,1161,2
40,0,5,0,2.1,6,6.81,36.47,14,9,2,3,0,0,16,2,5,6,4,1.0,0.51,84.81,104,3
28,0,2,0,1.0,7,26.47,64.74,14,3,3,19,0,2,43,1,6,3,5,4.0,0.08,72.85,989,2
28,1,4,0,1.2,8,29.84,47.77,10,6,4,19,0,0,25,1,3,4,2,3.0,0.19,55.92,373,1
41,0,0,2,1.0,9,6.45,51.42,8,5,6,22,2,0,35,0,3,6,3,4.0,0.38,56.02,1155,3
53,1,1,0,2.1,6,3.45,45.83,7,3,2,8,0,0,21,0,7,5,2,4.0,0.32,74.7,380,4
57,1,6,2,1.1,5,20.0,27.22,12,6,4,20,0,0,1,1,5,2,1,5.0,0.07,62.19,617,4
41,1,6,0,1.2,8,5.06,37.34,8,5,4,18,1,1,44,0,8,5,2,1.0,0.48,67.25,255,3
20,1,6,2,1.1,5,17.92,29.55,16,3,3,21,0,0,11,0,5,0,5,5.0,0.98,51.33,691,2
